control_id,control_name,relationship,technique_id,technique_name,tactic_id,tactic_name
AC-2,Account Management,mitigates,T1110,Brute Force,TA0006,Credential Access
AC-2,Account Management,mitigates,T1110.003,Password Spraying,TA0006,Credential Access
AC-2,Account Management,mitigates,T1110.004,Credential Stuffing,TA0006,Credential Access
AC-2,Account Management,mitigates,T1134,Access Token Manipulation,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1134.001,Token Impersonation/Theft,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1134.002,Create Process with Token,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1134.003,Make and Impersonate Token,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1136,Create Account,TA0003,Persistence
AC-2,Account Management,mitigates,T1136.001,Local Account,TA0003,Persistence
AC-2,Account Management,mitigates,T1136.002,Domain Account,TA0003,Persistence
AC-2,Account Management,mitigates,T1136.003,Cloud Account,TA0003,Persistence
AC-2,Account Management,mitigates,T1185,Browser Session Hijacking,TA0009,Collection
AC-2,Account Management,mitigates,T1213,Data from Information Repositories,TA0009,Collection
AC-2,Account Management,mitigates,T1213.001,Confluence,TA0009,Collection
AC-2,Account Management,mitigates,T1213.002,Sharepoint,TA0009,Collection
AC-2,Account Management,mitigates,T1222.001,Windows File and Directory Permissions Modification,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1222.002,Linux and Mac File and Directory Permissions Modification,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1484,Domain or Tenant Policy Modification,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1489,Service Stop,TA0040,Impact
AC-2,Account Management,mitigates,T1505.002,Transport Agent,TA0003,Persistence
AC-2,Account Management,mitigates,T1538,Cloud Service Dashboard,TA0007,Discovery
AC-2,Account Management,mitigates,T1542,Pre-OS Boot,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1542.001,System Firmware,TA0003,Persistence
AC-2,Account Management,mitigates,T1542.003,Bootkit,TA0003,Persistence
AC-2,Account Management,mitigates,T1542.005,TFTP Boot,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1543.002,Systemd Service,TA0003,Persistence
AC-2,Account Management,mitigates,T1543.004,Launch Daemon,TA0003,Persistence
AC-2,Account Management,mitigates,T1547.012,Print Processors,TA0003,Persistence
AC-2,Account Management,mitigates,T1547.013,XDG Autostart Entries,TA0003,Persistence
AC-2,Account Management,mitigates,T1548,Abuse Elevation Control Mechanism,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1550,Use Alternate Authentication Material,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1550.002,Pass the Hash,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1550.003,Pass the Ticket,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1552,Unsecured Credentials,TA0006,Credential Access
AC-2,Account Management,mitigates,T1552.001,Credentials In Files,TA0006,Credential Access
AC-2,Account Management,mitigates,T1552.002,Credentials in Registry,TA0006,Credential Access
AC-2,Account Management,mitigates,T1552.004,Private Keys,TA0006,Credential Access
AC-2,Account Management,mitigates,T1552.006,Group Policy Preferences,TA0006,Credential Access
AC-2,Account Management,mitigates,T1556.001,Domain Controller Authentication,TA0006,Credential Access
AC-2,Account Management,mitigates,T1556.003,Pluggable Authentication Modules,TA0006,Credential Access
AC-2,Account Management,mitigates,T1558.001,Golden Ticket,TA0006,Credential Access
AC-2,Account Management,mitigates,T1558.002,Silver Ticket,TA0006,Credential Access
AC-2,Account Management,mitigates,T1558.004,AS-REP Roasting,TA0006,Credential Access
AC-2,Account Management,mitigates,T1559.001,Component Object Model,TA0002,Execution
AC-2,Account Management,mitigates,T1562.002,Disable Windows Event Logging,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.004,Disable or Modify System Firewall,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.007,Disable or Modify Cloud Firewall,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.009,Safe Mode Boot,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1563,Remote Service Session Hijacking,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1563.001,SSH Hijacking,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1563.002,RDP Hijacking,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1569,System Services,TA0002,Execution
AC-2,Account Management,mitigates,T1569.001,Launchctl,TA0002,Execution
AC-2,Account Management,mitigates,T1569.002,Service Execution,TA0002,Execution
AC-2,Account Management,mitigates,T1574.004,Dylib Hijacking,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.005,Executable Installer File Permissions Weakness,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.008,Path Interception by Search Order Hijacking,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.009,Path Interception by Unquoted Path,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.010,Services File Permissions Weakness,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.012,COR_PROFILER,TA0003,Persistence
AC-2,Account Management,mitigates,T1578,Modify Cloud Compute Infrastructure,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1578.001,Create Snapshot,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1578.002,Create Cloud Instance,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1578.003,Delete Cloud Instance,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1599.001,Network Address Translation Traversal,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1601,Modify System Image,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1601.001,Patch System Image,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1601.002,Downgrade System Image,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1606,Forge Web Credentials,TA0006,Credential Access
AC-2,Account Management,mitigates,T1606.001,Web Cookies,TA0006,Credential Access
AC-2,Account Management,mitigates,T1606.002,SAML Tokens,TA0006,Credential Access
AC-2,Account Management,mitigates,T1612,Build Image on Host,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1613,Container and Resource Discovery,TA0007,Discovery
AC-2,Account Management,mitigates,T1619,Cloud Storage Object Discovery,TA0007,Discovery
AC-2,Account Management,mitigates,T1003.001,LSASS Memory,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.002,Security Account Manager,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.003,NTDS,TA0006,Credential Access
AC-2,Account Management,mitigates,T1005,Data from Local System,TA0009,Collection
AC-2,Account Management,mitigates,T1055,Process Injection,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1068,Exploitation for Privilege Escalation,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1078,Valid Accounts,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1110.001,Password Guessing,TA0006,Credential Access
AC-2,Account Management,mitigates,T1110.002,Password Cracking,TA0006,Credential Access
AC-2,Account Management,mitigates,T1212,Exploitation for Credential Access,TA0006,Credential Access
AC-2,Account Management,mitigates,T1218,System Binary Proxy Execution,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1528,Steal Application Access Token,TA0006,Credential Access
AC-2,Account Management,mitigates,T1530,Data from Cloud Storage,TA0009,Collection
AC-2,Account Management,mitigates,T1552.007,Container API,TA0006,Credential Access
AC-2,Account Management,mitigates,T1556,Modify Authentication Process,TA0006,Credential Access
AC-2,Account Management,mitigates,T1580,Cloud Infrastructure Discovery,TA0007,Discovery
AC-2,Account Management,mitigates,T1599,Network Boundary Bridging,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1611,Escape to Host,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1070.007,Clear Network Connection History and Configurations,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1070.008,Clear Mailbox Data,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1070.009,Clear Persistence,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1098.005,Device Registration,TA0003,Persistence
AC-2,Account Management,mitigates,T1505.005,Terminal Services DLL,TA0003,Persistence
AC-2,Account Management,mitigates,T1648,Serverless Execution,TA0002,Execution
AC-2,Account Management,mitigates,T1556.005,Reversible Encryption,TA0006,Credential Access
AC-2,Account Management,mitigates,T1556.006,Multi-Factor Authentication,TA0006,Credential Access
AC-2,Account Management,mitigates,T1556.007,Hybrid Identity,TA0006,Credential Access
AC-2,Account Management,mitigates,T1585.003,Cloud Accounts,TA0042,Resource Development
AC-2,Account Management,mitigates,T1586.003,Cloud Accounts,TA0042,Resource Development
AC-2,Account Management,mitigates,T1621,Multi-Factor Authentication Request Generation,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1021.001,Remote Desktop Protocol,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1037.002,Login Hook,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1037.005,Startup Items,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1047,Windows Management Instrumentation,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1053,Scheduled Task/Job,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1053.002,At,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1053.003,Cron,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1053.005,Scheduled Task,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1059,Command and Scripting Interpreter,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1059.001,PowerShell,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1059.002,AppleScript,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1059.005,Visual Basic,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1059.008,Network Device CLI,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1070,Indicator Removal,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1070.001,Clear Windows Event Logs,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1070.003,Clear Command History,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1078.002,Domain Accounts,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1078.004,Cloud Accounts,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1095,Non-Application Layer Protocol,TA0011,Command and Control
AC-3,Access Enforcement,mitigates,T1098,Account Manipulation,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1098.001,Additional Cloud Credentials,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1098.002,Additional Email Delegate Permissions,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1098.003,Additional Cloud Roles,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1098.004,SSH Authorized Keys,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1190,Exploit Public-Facing Application,TA0001,Initial Access
AC-3,Access Enforcement,mitigates,T1197,BITS Jobs,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1205,Traffic Signaling,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1205.001,Port Knocking,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1210,Exploitation of Remote Services,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1213.003,Code Repositories,TA0009,Collection
AC-3,Access Enforcement,mitigates,T1218.007,Msiexec,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1218.012,Verclsid,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1219,Remote Access Software,TA0011,Command and Control
AC-3,Access Enforcement,mitigates,T1222,File and Directory Permissions Modification,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1486,Data Encrypted for Impact,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1490,Inhibit System Recovery,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1491,Defacement,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1491.001,Internal Defacement,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1491.002,External Defacement,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1495,Firmware Corruption,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1498.001,Direct Network Flood,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1498.002,Reflection Amplification,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1499,Endpoint Denial of Service,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1499.001,OS Exhaustion Flood,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1499.002,Service Exhaustion Flood,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1499.003,Application Exhaustion Flood,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1499.004,Application or System Exploitation,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1505,Server Software Component,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1505.003,Web Shell,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1525,Implant Internal Image,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1537,Transfer Data to Cloud Account,TA0010,Exfiltration
AC-3,Access Enforcement,mitigates,T1543,Create or Modify System Process,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1543.001,Launch Agent,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1543.003,Windows Service,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1546.003,Windows Management Instrumentation Event Subscription,TA0004,Privilege Escalation
AC-3,Access Enforcement,mitigates,T1547.003,Time Providers,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1547.004,Winlogon Helper DLL,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1547.006,Kernel Modules and Extensions,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1547.007,Re-opened Applications,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1547.009,Shortcut Modification,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1548.002,Bypass User Account Control,TA0004,Privilege Escalation
AC-3,Access Enforcement,mitigates,T1548.003,Sudo and Sudo Caching,TA0004,Privilege Escalation
AC-3,Access Enforcement,mitigates,T1552.005,Cloud Instance Metadata API,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1556.004,Network Device Authentication,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1558,Steal or Forge Kerberos Tickets,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1558.003,Kerberoasting,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1559,Inter-Process Communication,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1562,Impair Defenses,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1562.001,Disable or Modify Tools,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1562.006,Indicator Blocking,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1562.008,Disable or Modify Cloud Logs,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1565,Data Manipulation,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1565.001,Stored Data Manipulation,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1565.003,Runtime Data Manipulation,TA0040,Impact
AC-3,Access Enforcement,mitigates,T1567,Exfiltration Over Web Service,TA0010,Exfiltration
AC-3,Access Enforcement,mitigates,T1570,Lateral Tool Transfer,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1574,Hijack Execution Flow,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1574.007,Path Interception by PATH Environment Variable,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1602.002,Network Device Configuration Dump,TA0009,Collection
AC-3,Access Enforcement,mitigates,T1609,Container Administration Command,TA0002,Execution
AC-3,Access Enforcement,mitigates,T1610,Deploy Container,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1003,OS Credential Dumping,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1003.004,LSA Secrets,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1003.005,Cached Domain Credentials,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1003.006,DCSync,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1003.007,Proc Filesystem,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1003.008,/etc/passwd and /etc/shadow,TA0006,Credential Access
AC-3,Access Enforcement,mitigates,T1021,Remote Services,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1021.002,SMB/Windows Admin Shares,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1021.003,Distributed Component Object Model,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1021.004,SSH,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1021.005,VNC,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1021.006,Windows Remote Management,TA0008,Lateral Movement
AC-3,Access Enforcement,mitigates,T1025,Data from Removable Media,TA0009,Collection
AC-3,Access Enforcement,mitigates,T1036,Masquerading,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1036.003,Rename System Utilities,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1036.005,Match Legitimate Name or Location,TA0005,Defense Evasion
AC-3,Access Enforcement,mitigates,T1037,Boot or Logon Initialization Scripts,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1037.003,Network Logon Script,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1037.004,RC Scripts,TA0003,Persistence
AC-3,Access Enforcement,mitigates,T1041,Exfiltration Over C2 Channel,TA0010,Exfiltration
AC-3,Access Enforcement,mitigates,T1048,Exfiltration Over Alternative Protocol,TA0010,Exfiltration
